year,stage,input,output,prod
2020,proc,brine,loh,0.0
2020,proc,brine,lce,0.0
2020,proc,spod,loh,47.78918811
2020,proc,spod,lce,0.0
2020,proc,clay,loh,0.0
2020,proc,clay,lce,40.33939429
2021,proc,brine,loh,0.0
2021,proc,brine,lce,0.0
2021,proc,spod,loh,105.7999445
2021,proc,spod,lce,0.0
2021,proc,clay,loh,0.0
2021,proc,clay,lce,73.49354568
2022,proc,brine,loh,0.0
2022,proc,brine,lce,0.0
2022,proc,spod,loh,166.0778321
2022,proc,spod,lce,0.0
2022,proc,clay,loh,0.0
2022,proc,clay,lce,111.3772252
2023,proc,brine,loh,0.0
2023,proc,brine,lce,0.0
2023,proc,spod,loh,100.6205446
2023,proc,spod,lce,0.0
2023,proc,clay,loh,0.0
2023,proc,clay,lce,145.1675567
2024,proc,brine,loh,0.0
2024,proc,brine,lce,0.0
2024,proc,spod,loh,255.7887705
2024,proc,spod,lce,0.0
2024,proc,clay,loh,0.0
2024,proc,clay,lce,167.7407651
2025,proc,brine,loh,0.0
2025,proc,brine,lce,0.0
2025,proc,spod,loh,293.3487742
2025,proc,spod,lce,0.0
2025,proc,clay,loh,0.0
2025,proc,clay,lce,188.3539945
2026,proc,brine,loh,0.0
2026,proc,brine,lce,0.0
2026,proc,spod,loh,300.2458082
2026,proc,spod,lce,0.0
2026,proc,clay,loh,0.0
2026,proc,clay,lce,207.9710174
2027,proc,brine,loh,0.0
2027,proc,brine,lce,0.0
2027,proc,spod,loh,157.9762035
2027,proc,spod,lce,0.0
2027,proc,clay,loh,0.0
2027,proc,clay,lce,229.5056889
2028,proc,brine,loh,0.0
2028,proc,brine,lce,0.0
2028,proc,spod,loh,194.7224873
2028,proc,spod,lce,0.0
2028,proc,clay,loh,0.0
2028,proc,clay,lce,253.1230987
2029,proc,brine,loh,0.0
2029,proc,brine,lce,0.0
2029,proc,spod,loh,134.665571
2029,proc,spod,lce,0.0
2029,proc,clay,loh,0.0
2029,proc,clay,lce,278.9992784
2030,proc,brine,loh,0.0
2030,proc,brine,lce,0.0
2030,proc,spod,loh,464.1248825
2030,proc,spod,lce,0.0
2030,proc,clay,loh,0.0
2030,proc,clay,lce,256.0265441
2031,proc,brine,loh,0.0
2031,proc,brine,lce,0.0
2031,proc,spod,loh,504.6299747
2031,proc,spod,lce,0.0
2031,proc,clay,loh,0.0
2031,proc,clay,lce,278.3704846
2032,proc,brine,loh,0.0
2032,proc,brine,lce,0.0
2032,proc,spod,loh,547.8218042
2032,proc,spod,lce,0.0
2032,proc,clay,loh,0.0
2032,proc,clay,lce,302.1965178
2033,proc,brine,loh,0.0
2033,proc,brine,lce,0.0
2033,proc,spod,loh,593.7473597
2033,proc,spod,lce,0.0
2033,proc,clay,loh,0.0
2033,proc,clay,lce,327.5305641
2034,proc,brine,loh,0.0
2034,proc,brine,lce,0.0
2034,proc,spod,loh,642.4346318
2034,proc,spod,lce,0.0
2034,proc,clay,loh,0.0
2034,proc,clay,lce,354.3880641
2035,proc,brine,loh,0.0
2035,proc,brine,lce,0.0
2035,proc,spod,loh,393.8904029
